,기관넘버,소계,2011년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,is_sum_same
0,1,5221,1944.0,195.0,316.0,430,546,765,577,448,True
1,2,1879,303.0,387.0,134.0,59,144,194,273,385,True
2,3,1265,243.0,88.0,141.0,74,145,254,1,319,True
3,4,1617,219.0,155.0,118.0,230,187,190,264,254,True
4,5,3985,430.0,56.0,419.0,487,609,619,694,671,True
5,6,1581,470.0,42.0,83.0,87,64,21,468,346,True
6,7,3227,852.0,219.0,349.0,187,268,326,540,486,True
7,8,1634,27.0,17.0,242.0,101,382,136,199,530,True
8,9,1906,481.0,117.0,203.0,79,461,298,110,156,True
9,10,858,197.0,66.0,8.0,185,59,155,117,71,True
10,11,2003,,,,1326,111,233,136,197,True
11,12,1780,238.0,93.0,29.0,503,130,254,278,255,True
12,13,1935,585.0,108.0,69.0,70,177,359,372,195,True
13,14,2121,565.0,233.0,214.0,114,109,277,415,194,True
14,15,2835,1172.0,91.0,228.0,134,215,352,247,396,True
15,16,2679,665.0,109.0,117.0,101,258,201,933,294,True
16,17,3003,779.0,84.0,304.0,241,279,388,285,643,True
17,18,1586,600.0,99.0,88.0,21,166,100,116,396,True
18,19,2775,772.0,161.0,185.0,169,172,349,137,830,True
19,20,2495,132.0,121.0,206.0,217,366,289,371,793,True
20,21,2063,1279.0,152.0,201.0,107,102,89,60,73,True
21,22,2962,1365.0,83.0,99.0,343,180,296,229,367,True
22,23,1471,8.0,7.0,599.0,132,195,148,281,101,True
23,24,1544,25.0,165.0,114.0,81,245,270,317,328,True
24,25,1068,,,,770,102,121,66,9,True
